"Time","Area","Mean_Radius","Intensity_KTR_Cyan","Intensity_KTR_Green","Math_RatioCyan","Math_RatioGreen","Object_Label","Time_in_min"
1,133,1.4191,0.0255,0.0391,0.5708,1.0384,339,0
1,221,1.4241,0.0212,0.0294,0.4454,0.5717,340,0
1,132,1.3012,0.012,0.0298,0.4516,0.8938,342,0
1,126,1.5216,0.0175,0.0337,0.5725,1.1223,343,0
1,131,1.4734,0.015,0.0306,0.5355,1.173,355,0
1,197,1.433,0.0183,0.0379,0.4936,1.0893,356,0
1,214,1.393,0.0183,0.0342,0.4648,1.0532,358,0
1,200,1.4385,0.021,0.0325,0.4516,0.7939,359,0
1,150,1.3676,0.0129,0.0282,0.4078,0.9801,362,0
1,189,1.3909,0.0187,0.0342,0.4356,0.7781,365,0
1,255,1.4684,0.0197,0.0395,0.4092,0.7825,366,0
1,220,1.3651,0.0266,0.0353,0.4783,0.6408,369,0
1,121,1.3116,0.0171,0.0254,0.4185,0.5429,370,0
1,175,1.295,0.0179,0.0301,0.4734,0.7739,375,0
1,146,1.3716,0.0119,0.0245,0.3761,0.7428,379,0
1,176,1.3008,0.0186,0.0258,0.4685,0.7124,381,0
1,259,1.4612,0.0211,0.037,0.3923,0.7226,382,0
1,144,1.2889,0.0234,0.0375,0.5515,0.8288,383,0
1,144,1.4092,0.0163,0.0296,0.5693,0.784,392,0
1,226,1.3886,0.0224,0.0309,0.4675,0.7653,395,0
1,144,1.3241,0.0127,0.0302,0.4326,0.9816,396,0
1,179,1.4443,0.0137,0.0297,0.3886,0.8256,397,0
1,163,1.2918,0.0181,0.0278,0.4018,0.6644,403,0
1,126,1.4394,0.0276,0.0323,0.9225,1.1976,404,0
1,197,1.3753,0.0234,0.0299,0.5015,0.6628,405,0
1,221,1.3771,0.0215,0.0316,0.4792,0.8408,406,0
1,213,1.545,0.0149,0.0278,0.3768,0.7213,407,0
1,112,1.3677,0.0125,0.0286,0.5094,0.8696,421,0
1,194,1.3802,0.023,0.0294,0.4325,0.553,422,0
1,157,1.3139,0.0223,0.0273,0.6278,0.8287,423,0
1,208,1.5,0.0229,0.026,0.6262,0.8563,428,0
1,219,1.4816,0.0192,0.0311,0.4462,0.813,432,0
1,192,1.4041,0.0174,0.0301,0.5131,0.8954,444,0
1,180,1.4471,0.0178,0.0327,0.4116,0.9812,449,0
1,152,1.3065,0.0138,0.0255,0.4366,0.8402,456,0
1,125,1.4551,0.0148,0.0293,0.4576,0.726,457,0
1,149,1.4061,0.017,0.0277,0.4359,0.8722,458,0
1,158,1.4441,0.0174,0.0261,0.5542,1.1692,462,0
1,189,1.4065,0.0143,0.0344,0.419,0.8532,466,0
1,111,1.2288,0.0219,0.02,0.4824,0.3965,475,0
1,167,1.339,0.0163,0.0265,0.5647,0.7523,492,0
1,182,1.3922,0.0193,0.0295,0.4161,0.5871,495,0
1,201,1.3913,0.02,0.0365,0.4229,0.7452,500,0
1,176,1.3977,0.0257,0.0374,0.6151,0.9266,502,0
1,107,1.2797,0.0236,0.0315,0.5504,0.7166,505,0
1,191,1.4749,0.0245,0.0338,0.5644,0.8008,516,0
1,146,1.3133,0.0167,0.0258,0.5359,0.8644,522,0
1,125,1.4181,0.0171,0.0296,0.5033,1.1397,523,0
1,177,1.4836,0.0192,0.0317,0.4952,0.854,526,0
1,116,1.4097,0.0212,0.026,0.5523,0.7102,529,0
1,143,1.3292,0.0174,0.0277,0.5204,1.0715,530,0
1,139,1.3561,0.0189,0.0375,0.4693,1.1219,534,0
1,137,1.4227,0.0186,0.0268,0.509,1.0303,538,0
1,106,1.3955,0.0245,0.0288,0.5901,0.8834,544,0
1,188,1.4231,0.0194,0.0371,0.4682,0.9694,549,0
1,113,1.2858,0.0142,0.0284,0.5085,0.7844,553,0
1,138,1.49,0.0212,0.0268,0.6875,1.2104,554,0
1,117,1.2715,0.0141,0.0266,0.3928,0.7377,557,0
1,213,1.4388,0.0215,0.0286,0.5034,0.6903,559,0
